¿œ¿⁄,øıªÛ√‚¿Âº“,π∞±›¿æ,µø∏È,ø¯µø∏È,ªÛ∫œ∏È,«œ∫œ∏È,¡ﬂæ”µø,ªÔº∫µø,∞≠º≠µø,¥ˆ∞Ëµø,¿Ã√µ,»≠¡¶,øıªÛ¡§ºˆ¿Â
2017-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17,3.5,3,3,0,1.5,14,3,1,0,4,0,0,10.5
2017-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-24,0,0,0,0,0,10,0,0,0,0,1,0,0
2017-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-28,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-07,12.5,11,8,2,7.5,7,9,11,11,9,3.5,6,9.5
2017-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-11,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-06-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-13,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-06-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-20,10,11,10,6,8.5,7,11,11,9,11,4.5,14,10.5
2017-06-21,0,0,0,0,0,0,0,0,0,0,0,0,0.5
2017-06-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-25,0,0,0,0,0,2,0,0,0,0,2.5,0,0
2017-06-26,2,0,2,0,0,1,0,0,0,0,2,0,0.5
2017-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-28,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5
2017-06-29,7,8,9,5,5.5,3,7,6,5,8,5,5,8
2017-06-30,0,0,1,0,0,1,0,0,0,0,0,0.5,0.5
2017-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02,15,31,33,24,18.5,26,26,29,27,22,12.5,27,23.5
2017-07-03,0,3,0,2,0.5,0,1,3,2,0,5.5,0.5,0
2017-07-04,15.5,18,15,2,4.5,33,12,7,4,16,37.5,7.5,10.5
2017-07-05,18,12,22,36,30.5,45,36,37,28,23,29,36.5,20
2017-07-06,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-07,1,0,1,1,1,0,0,0,0,1,2,0,1
2017-07-08,0.5,2,1,5,1,7,2,2,4,0,7,3.5,2
2017-07-09,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
2017-07-10,0.5,2,2,0,0.5,0,2,1,1,1,1.5,2,1
2017-07-11,0.5,1,0,1,0.5,0,0,1,3,1,0.5,1,0.5
2017-07-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-17,0.5,1,1,2,0.5,0,1,0,0,1,6,1,0.5
2017-07-18,0,6,7,4,0,2,7,7,2,0,3.5,5.5,0.5
2017-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-20,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0
2017-07-21,0,0,0,0,0,0,0,0,0,0,0,0,1
2017-07-22,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-07-23,0,0,0,0,0,0,0,0,0,0,0.5,0,0
2017-07-24,13,25,16,25,41.5,10,18,15,19,22,21,15,22.5
2017-07-25,11,18,16,27,7,1,16,29,17,4,9,23.5,5
2017-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-30,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-31,16,10,11,27,4,3,27,46,21,18,4,54.5,21.5
2017-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-07,0,0,0,0,0,0,0,0,0,7,0,0,13.5
2017-08-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-09,9.5,25,22,10,8.5,7,19,18,17,14,0.5,18.5,17.5
2017-08-10,2.5,2,1,2,2,12,0,1,3,1,2,1,0.5
2017-08-11,0,0,1,4,0,0,0,0,0,0,1,0,0
2017-08-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-14,30.5,21,21,10,15,34,16,15,11,26,12,12.5,25
2017-08-15,2.5,1,1,2,1,1,1,2,1,2,1,1.5,2.5
2017-08-16,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-17,0,0,10,1,0,0,1,0,0,0,11,3,0
2017-08-18,0,0,1,4,1,4,1,1,1,1,11.5,2.5,0.5
2017-08-19,0,0,0,2,0.5,3,0,0,0,0,0.5,0,0
2017-08-20,0,2,0,14,1.5,1,0,1,1,0,6,1,0
2017-08-21,8,11,1,1,13.5,29,3,7,19,7,7,10.5,6
2017-08-22,1,1,10,7,1,5,3,5,2,3,6,3,4.5
2017-08-23,0,1,1,0,0,0,0,0,0,0,0,0,0
2017-08-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-25,0,0,0,0,0,0,0,0,0,0,1,0,0
2017-08-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-28,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-30,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-31,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-05,0,0,0,0,0,1,0,0,0,0,1,0,0
2017-09-06,39,36,37,35,33,31,31,37,34,33,28.5,35.5,33.5
2017-09-07,6,6,8,5,5,7,6,7,6,9,4.5,5.5,5.5
2017-09-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-11,123,112,118,110,103,90,104,114,94,113,66,109.5,104.5
2017-09-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-16,2.5,0,0,0,1,1,0,1,0,4,0,0,4.5
2017-09-17,22.5,0,6,0,9.5,11,2,4,2,31,5.5,0,25.5
2017-09-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-25,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-27,19,7,12,6,11.5,23,9,9,7,18,10.5,7.5,15.5
2017-09-28,4,0,0,0,6,1,0,0,0,14,3.5,0,4.5
2017-09-29,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0
2017-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,5,8,6,6,5.5,6,6,6,4,5,8,7,4.5
2017-10-02,34.5,34,36,29,37.5,28,33,35,38,34,26.5,30.5,33.5
2017-10-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-05,0.5,1,1,0,0.5,1,0,1,0,0,0,0.5,0.5
2017-10-06,14.5,6,9,7,9.5,14,8,7,7,13,9,6.5,10.5
2017-10-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-12,11,11,12,12,10.5,11,11,12,10,11,14.5,11,11
2017-10-13,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-15,6,4,5,3,4.5,4,4,4,4,6,3,3,6
2017-10-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-24,4,0,2,0,6,1,2,4,4,4,2.5,0,3.5
2017-10-25,0,0,0,0,0.5,0,0,1,1,1,0.5,0,0.5
2017-10-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-28,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-31,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-06,0,0,0,0,0,0,0,0,0,0,0.5,0,0
2017-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-25,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-28,0,0,0,0,0,0,0,0,0,0,0,0,0
